날짜,평균기온,최저기온,최고기온
20210101,-4.6,-9.7,-1.2
20210102,-3.5,-7.1,1.4
20210103,-4.1,-8.5,0.0
20210104,-2.8,-8.4,2.5
20210105,-2.8,-7.6,0.3
20210106,-5.3,-10.6,-1.4
20210107,-11.2,-15.6,-3.4
20210108,-13.5,-17.5,-8.3
20210109,-11.4,-17.0,-6.0
20210110,-8.0,-14.7,-2.0
20210111,-6.0,-9.8,-2.4
20210112,-1.4,-7.0,4.2
20210113,3.7,-3.8,10.8
20210114,3.3,-2.6,11.7
20210115,6.1,-0.8,13.7
20210116,-1.1,-4.8,3.4
20210117,-3.3,-8.4,2.0
20210118,-1.5,-4.8,4.6
20210119,-4.8,-10.2,0.8
20210120,-0.6,-8.7,9.3
20210121,4.9,-1.2,9.3
20210122,7.4,5.6,9.9
20210123,8.0,4.3,11.7
20210124,8.2,2.9,14.5
20210125,8.3,3.1,14.4
20210126,6.2,4.3,8.0
20210127,2.9,-0.6,7.9
20210128,-1.6,-6.6,5.6
20210129,-6.0,-9.6,-0.5
20210130,0.2,-7.6,9.2
20210131,3.8,-4.5,12.5
20210201,7.3,2.6,11.0
20210202,-2.4,-4.4,2.6
20210203,-1.4,-8.2,4.1
20210204,-0.5,-3.7,4.1
20210205,1.2,-5.6,7.9
20210206,6.0,-1.1,9.3
20210207,5.8,-0.4,11.4
20210208,-1.7,-4.1,2.5
20210209,0.0,-6.3,7.4
20210210,2.6,-4.2,10.0
20210211,5.3,-0.2,12.5
20210212,6.9,0.3,16.3
20210213,7.6,-0.5,17.4
20210214,9.1,4.2,15.2
20210215,3.0,-2.0,9.0
20210216,-2.7,-5.7,2.7
20210217,-6.1,-7.5,-3.6
20210218,-4.3,-8.9,0.9
20210219,2.6,-7.0,9.8
20210220,11.2,6.3,17.2
20210221,14.3,5.6,22.6
20210222,11.7,1.6,19.9
20210223,1.9,-2.4,8.6
20210224,4.5,-1.4,12.1
20210225,4.7,-0.1,8.9
20210226,8.9,1.9,15.4
20210227,8.7,5.1,12.9
20210228,7.4,1.5,12.4
20210301,8.2,2.0,12.7
20210302,3.0,0.7,6.7
20210303,4.3,-1.8,10.2
20210304,5.7,1.5,10.5
20210305,8.5,2.4,16.9
20210306,7.5,4.0,14.3
20210307,6.7,4.1,11.1
20210308,8.0,1.8,15.3
20210309,7.5,2.9,13.7
20210310,9.6,0.3,18.4
20210311,11.0,2.7,19.5
20210312,8.3,7.1,10.8
20210313,9.0,3.4,15.6
20210314,9.4,3.9,15.1
20210315,11.8,3.5,18.4
20210316,11.1,4.6,16.6
20210317,10.0,1.1,19.3
20210318,12.5,4.1,20.8
20210319,13.7,9.7,18.8
20210320,9.0,7.5,11.9
20210321,6.4,4.2,10.5
20210322,7.1,2.0,13.1
20210323,9.9,2.9,17.2
20210324,10.8,3.3,18.4
20210325,13.0,4.7,22.1
20210326,14.4,5.2,22.5
20210327,12.2,7.9,16.3
20210328,10.3,9.1,14.9
20210329,12.2,8.3,17.9
20210330,12.6,5.8,20.0
20210331,14.3,4.0,24.4
20210401,15.8,11.1,21.6
20210402,17.6,12.2,23.5
20210403,16.4,14.5,18.2
20210404,11.7,9.4,14.4
20210405,11.6,4.4,18.2
20210406,13.2,5.8,21.2
20210407,14.3,6.3,22.9
20210408,13.1,6.8,20.2
20210409,12.3,4.7,20.0
20210410,13.0,6.8,19.8
20210411,15.6,6.1,23.5
20210412,13.6,12.4,16.5
20210413,11.3,5.1,17.3
20210414,9.6,3.2,16.8
20210415,11.6,2.3,19.6
20210416,11.8,9.3,15.8
20210417,10.7,6.9,16.6
20210418,11.1,6.8,17.5
20210419,13.5,4.4,22.0
20210420,15.8,6.3,25.1
20210421,19.6,9.6,29.7
20210422,21.8,15.1,29.9
20210423,19.0,16.0,22.2
20210424,17.9,13.4,24.7
20210425,17.9,10.3,24.9
20210426,17.0,10.3,23.2
20210427,16.6,12.6,22.2
20210428,16.9,13.3,21.1
20210429,16.2,11.9,20.3
20210430,13.1,10.5,17.6
20210501,10.5,9.4,13.3
20210502,13.0,7.9,19.6
20210503,15.1,6.6,23.3
20210504,17.2,11.8,23.0
20210505,15.2,10.7,20.9
20210506,15.8,6.0,23.2
20210507,15.2,10.9,21.2
20210508,16.3,8.9,23.6
20210509,16.8,10.0,23.6
20210510,12.5,11.1,14.3
20210511,15.8,12.2,20.0
20210512,20.1,12.6,26.2
20210513,22.3,14.0,29.8
20210514,23.9,16.5,31.8
20210515,23.0,19.5,27.3
20210516,21.3,18.4,23.3
20210517,16.4,15.3,18.4
20210518,18.8,15.2,24.7
20210519,20.9,14.8,27.6
20210520,16.9,15.4,19.2
20210521,15.3,14.2,16.9
20210522,18.6,11.9,25.5
20210523,20.3,13.3,26.6
20210524,20.2,16.6,25.6
20210525,16.8,13.0,22.0
20210526,17.9,12.9,23.6
20210527,17.0,14.2,21.1
20210528,15.0,11.8,19.7
20210529,18.5,13.4,24.3
20210530,20.9,12.1,28.8
20210531,20.7,16.2,26.7
20210601,22.5,16.3,28.0
20210602,24.4,18.0,30.6
20210603,19.2,17.7,21.7
20210604,18.6,13.3,24.4
20210605,21.5,16.1,26.1
20210606,23.4,18.6,28.5
20210607,23.3,16.9,29.5
20210608,24.8,18.7,31.2
20210609,26.9,20.1,32.9
20210610,25.7,21.2,31.6
20210611,23.5,19.9,28.7
20210612,25.3,19.7,30.7
20210613,25.2,21.9,31.0
20210614,24.9,20.9,30.5
20210615,22.6,21.1,24.1
20210616,23.6,21.3,27.2
20210617,22.1,19.6,25.4
20210618,21.2,19.7,23.5
20210619,23.5,18.2,29.1
20210620,24.4,17.5,31.0
20210621,24.8,19.5,30.7
20210622,23.6,18.5,28.6
20210623,20.9,19.2,25.1
20210624,23.2,18.6,27.8
20210625,24.4,18.7,30.5
20210626,22.6,20.2,26.5
20210627,25.0,19.5,30.3
20210628,25.6,21.7,30.2
20210629,23.5,20.7,29.4
20210630,24.8,21.1,30.1
20210701,26.7,21.3,32.0
20210702,27.0,23.0,31.5
20210703,23.2,21.1,26.2
20210704,22.7,21.5,24.4
20210705,22.5,20.6,25.4
20210706,23.6,21.3,26.2
20210707,26.0,23.5,28.5
20210708,26.4,22.7,30.7
20210709,26.2,23.1,30.4
20210710,27.0,24.2,31.1
20210711,27.2,23.4,31.1
20210712,28.7,24.4,33.3
20210713,29.8,25.4,34.2
20210714,29.5,25.1,33.2
20210715,29.3,25.4,35.3
20210716,28.4,24.1,34.0
20210717,27.1,23.1,32.1
20210718,27.3,23.6,32.5
20210719,26.7,23.4,32.0
20210720,27.6,24.5,31.2
20210721,29.5,23.7,34.4
20210722,29.2,24.0,33.7
20210723,29.7,24.6,34.9
20210724,30.2,26.3,34.7
20210725,29.7,25.6,33.4
20210726,29.9,25.1,34.7
20210727,30.1,23.9,35.4
20210728,30.6,26.2,36.1
20210729,30.2,26.0,35.6
20210730,30.8,26.5,36.1
20210731,30.2,26.4,35.7
20210801,27.3,24.9,32.2
20210802,26.0,24.8,28.6
20210803,28.0,24.6,32.2
20210804,29.7,25.1,34.2
20210805,29.8,25.9,35.3
20210806,27.7,23.8,34.5
20210807,27.7,23.0,33.1
20210808,26.6,24.5,29.4
20210809,28.1,22.7,32.9
20210810,27.3,23.9,32.9
20210811,27.4,22.6,33.0
20210812,27.6,23.7,32.3
20210813,26.7,23.5,30.3
20210814,25.7,23.4,29.5
20210815,26.7,22.5,31.7
20210816,26.2,22.5,30.5
20210817,25.5,22.2,29.8
20210818,24.7,21.6,30.1
20210819,24.3,21.3,29.4
20210820,26.0,20.5,31.3
20210821,24.5,22.3,26.6
20210822,25.5,22.5,29.3
20210823,22.8,21.4,24.0
20210824,24.3,21.5,27.7
20210825,23.7,22.5,25.0
20210826,25.7,22.3,29.3
20210827,21.8,20.5,25.0
20210828,22.8,19.4,26.3
20210829,22.4,19.4,26.7
20210830,22.9,20.3,25.3
20210831,23.4,21.8,27.4
20210901,23.1,21.2,25.1
20210902,22.7,20.5,25.2
20210903,23.7,19.9,28.1
20210904,23.2,18.1,28.5
20210905,21.7,18.4,24.8
20210906,20.7,18.8,23.4
20210907,21.0,18.7,24.1
20210908,22.2,19.4,27.0
20210909,22.4,17.5,28.2
20210910,23.6,20.2,28.3
20210911,24.3,20.3,30.8
20210912,24.1,20.0,29.4
20210913,23.9,21.5,28.2
20210914,23.0,20.1,26.2
20210915,23.9,20.5,28.5
20210916,22.8,17.1,27.0
20210917,20.7,18.7,22.9
20210918,22.4,17.0,28.5
20210919,22.9,18.0,28.2
20210920,23.6,18.9,28.2
20210921,22.6,20.6,26.2
20210922,22.5,18.1,27.8
20210923,21.1,16.8,26.8
20210924,21.3,15.2,27.1
20210925,21.0,18.2,24.2
20210926,21.3,17.1,25.9
20210927,22.2,18.8,27.2
20210928,22.0,19.8,25.8
20210929,21.5,19.5,23.7
20210930,21.9,18.3,27.6
20211001,21.6,16.6,28.4
20211002,21.4,16.4,27.9
20211003,22.6,16.4,31.2
20211004,22.9,16.8,29.0
20211005,23.4,19.3,29.5
20211006,22.6,18.5,28.2
20211007,20.6,18.8,24.8
20211008,20.3,18.6,22.4
20211009,23.2,19.9,28.3
20211010,22.9,16.9,29.2
20211011,15.4,12.6,17.5
20211012,16.2,15.9,17.0
20211013,19.6,16.1,24.6
20211014,19.9,15.3,26.4
20211015,18.6,16.8,21.7
20211016,12.2,5.4,17.6
20211017,6.0,0.4,12.9
20211018,9.6,1.3,17.7
20211019,10.9,6.7,16.7
20211020,9.3,3.5,17.0
20211021,9.5,4.1,16.6
20211022,10.0,3.8,17.3
20211023,11.1,4.0,20.0
20211024,11.3,5.0,19.2
20211025,10.8,5.4,18.4
20211026,11.8,4.9,19.1
20211027,12.9,8.2,20.5
20211028,11.4,4.6,20.1
20211029,13.4,7.5,21.0
20211030,12.4,8.7,18.0
20211031,13.3,6.7,21.2
20211101,13.4,9.7,19.7
20211102,12.3,8.4,17.6
20211103,11.2,5.3,18.7
20211104,13.7,8.3,20.4
20211105,13.0,7.5,20.4
20211106,13.9,7.8,21.8
20211107,15.4,8.3,21.9
20211108,10.3,6.1,15.5
20211109,7.7,6.1,10.3
20211110,5.9,3.5,7.7
20211111,6.7,2.9,10.3
20211112,5.7,2.8,9.3
20211113,7.2,1.0,15.2
20211114,10.2,3.9,17.6
20211115,10.1,4.7,16.8
20211116,8.7,3.9,16.4
20211117,8.3,1.5,15.6
20211118,10.3,3.6,16.5
20211119,12.0,7.0,18.3
20211120,11.8,8.2,17.3
20211121,10.8,6.8,15.1
20211122,5.3,1.8,12.6
20211123,1.8,-1.5,3.8
20211124,6.1,-0.1,12.4
20211125,8.7,3.9,15.8
20211126,5.4,-0.3,11.7
20211127,4.0,-0.7,11.6
20211128,4.9,-2.3,14.5
20211129,6.3,-0.6,13.2
20211130,6.1,3.3,9.9
20211201,0.9,-2.6,3.8
20211202,2.6,-4.2,8.4
20211203,4.5,0.1,8.7
20211204,0.6,-2.5,3.6
20211205,2.1,-3.3,10.5
20211206,4.4,-1.0,12.3
20211207,5.4,-0.2,12.7
20211208,5.6,0.1,13.3
20211209,5.6,0.1,11.5
20211210,6.6,3.4,10.5
20211211,7.3,4.3,11.1
20211212,3.9,-2.5,8.9
20211213,-1.6,-5.7,4.5
20211214,3.4,-3.9,8.9
20211215,8.3,5.1,12.8
20211216,6.7,4.8,11.2
20211217,-2.0,-8.4,6.1
20211218,-3.8,-11.3,3.3
20211219,1.5,-2.4,6.2
20211220,6.7,-0.8,11.9
20211221,7.9,1.7,14.1
20211222,2.9,-2.5,10.6
20211223,2.7,-3.1,10.5
20211224,1.8,-2.5,9.4
20211225,-7.1,-10.3,-2.5
20211226,-9.5,-14.5,-3.5
20211227,-4.4,-12.2,1.3
20211228,-0.5,-3.2,3.5
20211229,2.4,-2.1,7.2
20211230,-1.4,-4.5,3.0
20211231,-5.0,-8.3,0.5
20220101,-4.4,-10.0,2.3
20220102,-1.2,-6.2,6.3
20220103,-1.7,-7.9,4.2
20220104,0.1,-4.2,5.4
20220105,-1.4,-5.7,2.6
20220106,-0.7,-5.4,6.2
20220107,-1.5,-7.5,6.9
20220108,0.7,-7.0,7.1
20220109,2.5,-1.9,8.0
20220110,0.7,-4.6,7.0
20220111,-3.8,-7.3,0.7
20220112,-5.1,-10.8,1.6
20220113,-4.5,-6.8,-0.3
20220114,-4.0,-10.4,3.5
20220115,0.6,-6.2,6.3
20220116,0.7,-4.3,4.2
20220117,-3.1,-7.2,2.3
20220118,-4.4,-9.7,2.6
20220119,-3.2,-9.5,4.1
20220120,-4.0,-9.4,3.2
20220121,-1.9,-9.1,6.8
20220122,3.6,-2.8,9.3
20220123,4.6,0.5,10.2
20220124,4.1,-2.4,9.9
20220125,3.4,1.3,4.8
20220126,2.7,-0.5,6.6
20220127,0.3,-3.4,6.5
20220128,-1.0,-5.1,5.2
20220129,-2.0,-5.9,4.6
20220130,-2.0,-7.1,4.7
20220131,-0.5,-7.6,7.2
20220201,0.4,-0.9,2.2
20220202,-0.2,-3.9,4.0
20220203,-1.7,-5.2,4.3
20220204,-2.4,-5.0,2.6
20220205,-4.9,-9.1,0.2
20220206,-3.0,-8.6,2.9
20220207,-2.1,-7.5,2.7
20220208,-0.1,-5.7,7.0
20220209,1.5,-6.0,8.9
20220210,2.9,-1.3,9.4
20220211,2.8,-4.7,10.7
20220212,4.3,-1.9,12.5
20220213,5.0,-0.4,11.7
20220214,4.1,-2.0,12.3
20220215,-2.3,-6.1,1.0
20220216,-5.6,-8.7,-1.7
20220217,-5.5,-10.6,0.4
20220218,-0.9,-9.5,8.1
20220219,0.5,-3.4,5.2
20220220,-3.2,-6.6,1.3
20220221,-0.7,-7.5,5.5
20220222,-2.2,-7.1,3.0
20220223,-4.1,-8.6,2.5
20220224,-1.6,-9.3,5.9
20220225,2.9,-5.2,10.1
20220226,6.8,2.0,12.7
20220227,5.0,-1.3,12.2
20220228,6.9,-1.1,14.1
20220301,6.7,1.2,12.7
20220302,3.8,-2.9,11.6
20220303,7.0,-0.5,14.6
20220304,8.6,-0.3,16.8
20220305,3.9,-0.7,9.0
20220306,2.2,-2.9,9.6
20220307,4.3,-2.9,12.1
20220308,6.1,-2.1,15.3
20220309,7.8,-0.3,16.7
20220310,9.6,0.9,18.3
20220311,11.0,3.8,17.6
20220312,15.3,9.0,21.6
20220313,14.4,13.0,16.7
20220314,11.3,6.0,15.5
20220315,9.4,3.5,16.3
20220316,11.3,3.1,19.4
20220317,9.1,6.4,11.1
20220318,6.4,5.0,8.5
20220319,4.1,2.9,6.2
20220320,5.1,2.0,10.4
20220321,5.8,-1.1,12.4
20220322,6.9,1.0,13.6
20220323,5.8,3.1,9.6
20220324,8.7,1.2,15.6
20220325,12.6,5.3,19.0
20220326,11.0,7.9,14.7
20220327,8.4,2.9,16.6
20220328,7.7,-0.5,16.1
20220329,10.7,1.6,18.9
20220330,12.4,4.8,18.3
20220331,11.4,8.0,15.0
20220401,9.7,4.3,15.9
20220402,8.1,1.4,15.7
20220403,9.6,1.1,17.9
20220404,10.8,2.7,19.7
20220405,10.3,2.7,17.8
20220406,12.5,5.0,20.9
20220407,11.9,7.6,18.9
20220408,13.9,3.2,23.0
20220409,18.2,9.8,25.9
20220410,18.6,10.0,27.6
20220411,20.6,12.1,28.3
20220412,20.7,14.8,27.2
20220413,14.0,9.1,17.9
20220414,10.7,8.7,14.1
20220415,12.6,6.4,19.5
20220416,13.1,6.1,20.5
20220417,13.9,4.7,22.5
20220418,15.0,9.2,23.3
20220419,15.7,7.1,24.7
20220420,15.2,6.3,23.0
20220421,14.6,7.5,21.3
20220422,16.7,10.8,23.6
20220423,18.9,12.7,26.1
20220424,19.7,14.1,26.9
20220425,20.1,15.0,26.1
20220426,18.8,15.9,24.1
20220427,17.2,10.4,24.2
20220428,17.8,10.4,26.4
20220429,13.1,9.3,16.5
20220430,13.7,10.0,18.1
20220501,13.4,6.9,20.1
20220502,13.9,8.5,20.1
20220503,14.1,5.5,21.4
20220504,16.7,7.4,25.0
20220505,18.5,8.9,26.7
20220506,19.6,11.9,28.3
20220507,18.3,13.0,24.8
20220508,17.1,11.5,23.7
20220509,17.3,10.6,23.7
20220510,19.2,11.5,26.3
20220511,20.0,14.8,26.1
20220512,21.0,15.2,28.3
20220513,19.0,15.1,22.1
20220514,15.7,10.1,22.8
20220515,15.5,8.9,22.2
20220516,16.6,7.4,24.6
20220517,20.4,10.9,28.4
20220518,22.4,16.7,28.4
20220519,20.7,16.9,25.8
20220520,20.7,13.8,28.1
20220521,20.8,14.2,28.7
20220522,21.1,15.6,27.8
20220523,22.6,15.9,30.3
20220524,23.1,14.9,31.4
20220525,22.3,15.6,29.6
20220526,19.4,13.6,26.1
20220527,21.5,15.8,28.5
20220528,23.1,16.5,29.9
20220529,23.4,15.0,31.6
20220530,21.4,18.1,25.4
20220531,21.4,13.0,28.7
20220601,23.2,15.0,31.8
20220602,22.5,14.5,29.7
20220603,24.8,17.6,33.1
20220604,25.1,18.8,30.6
20220605,18.6,16.9,24.7
20220606,19.4,16.6,23.7
20220607,17.3,14.8,20.5
20220608,20.7,15.4,27.9
20220609,22.4,18.5,27.7
20220610,23.6,17.1,30.1
20220611,24.3,19.0,31.5
20220612,24.3,19.3,29.6
20220613,23.1,19.7,27.8
20220614,17.9,15.9,20.7
20220615,19.8,15.4,26.2
20220616,22.0,18.8,27.7
20220617,23.4,17.1,29.5
20220618,25.2,21.7,29.6
20220619,25.1,21.6,29.2
20220620,26.8,22.2,33.0
20220621,28.1,21.9,35.7
20220622,27.5,22.1,33.9
20220623,25.1,22.8,29.9
20220624,25.0,23.1,29.1
20220625,27.8,22.8,32.9
20220626,27.4,24.9,31.1
20220627,28.0,25.3,31.1
20220628,29.4,27.4,32.0
20220629,26.7,23.9,29.8
20220630,27.2,24.5,31.6
20220701,28.6,22.6,34.5
20220702,29.6,23.6,35.3
20220703,28.1,23.2,34.7
20220704,27.6,23.4,33.5
20220705,28.2,24.6,33.7
20220706,30.1,25.5,35.4
20220707,29.5,26.3,34.1
20220708,27.6,24.4,31.9
20220709,26.5,23.2,30.0
20220710,28.7,24.0,35.1
20220711,25.1,23.1,28.2
20220712,27.0,23.1,30.4
20220713,24.8,23.8,26.4
20220714,26.0,24.0,30.0
20220715,26.1,22.0,31.5
20220716,26.2,22.5,31.4
20220717,26.0,21.7,30.9
20220718,22.3,21.1,25.5
20220719,25.0,20.9,30.3
20220720,27.6,22.9,32.7
20220721,23.8,22.7,26.3
20220722,25.7,22.1,30.5
20220723,24.8,21.6,29.1
20220724,24.7,22.1,27.4
20220725,27.2,23.5,32.6
20220726,28.4,22.9,34.2
20220727,27.6,24.5,31.8
20220728,28.2,23.3,33.3
20220729,30.3,25.3,35.0
20220730,28.8,26.3,32.5
20220731,25.9,24.7,27.8
20220801,27.6,24.6,32.3
20220802,27.9,25.4,31.7
20220803,29.3,26.5,33.4
20220804,29.2,25.5,34.1
20220805,28.7,25.7,33.3
20220806,29.9,26.0,34.3
20220807,29.9,27.0,34.3
20220808,28.6,27.7,29.8
20220809,28.0,25.1,31.4
20220810,25.3,23.9,28.1
20220811,24.4,24.0,26.2
20220812,27.3,23.5,32.7
20220813,26.0,24.0,29.5
20220814,26.7,24.1,30.4
20220815,28.1,25.4,31.3
20220816,25.8,23.3,30.0
20220817,25.6,22.6,30.4
20220818,25.1,20.3,30.6
20220819,26.4,21.4,29.7
20220820,27.0,24.9,31.1
20220821,27.5,23.6,32.8
20220822,27.3,23.6,31.7
20220823,23.8,22.3,26.0
20220824,22.7,20.6,25.0
20220825,22.3,18.8,28.5
20220826,22.9,16.7,29.1
20220827,21.6,17.2,26.5
20220828,22.1,15.4,28.2
20220829,19.6,17.7,21.8
20220830,19.1,17.4,20.6
20220831,21.0,19.7,23.3
20220901,22.4,19.7,27.8
20220902,22.6,18.1,27.3
20220903,23.4,20.7,26.7
20220904,24.5,21.4,28.1
20220905,22.6,18.7,25.4
20220906,20.2,17.1,25.8
20220907,20.9,15.8,28.2
20220908,22.0,14.3,29.9
20220909,22.9,17.4,29.2
20220910,22.0,18.0,26.3
20220911,24.0,20.0,28.9
20220912,22.9,20.5,26.0
20220913,24.5,21.2,28.5
20220914,25.0,22.2,29.1
20220915,25.2,21.6,29.8
20220916,25.4,21.1,31.3
20220917,27.2,23.2,33.0
20220918,27.3,23.8,33.1
20220919,24.5,17.7,29.6
20220920,19.2,15.1,24.7
20220921,18.8,12.9,24.7
20220922,18.4,12.9,24.0
20220923,17.7,12.6,24.5
20220924,17.5,11.3,23.8
20220925,18.5,14.4,24.8
20220926,18.7,14.9,25.8
20220927,19.4,12.8,28.1
20220928,19.2,14.2,25.4
20220929,18.8,14.0,26.4
20220930,19.4,13.0,29.2
20221001,20.1,13.1,28.3
20221002,21.1,16.9,27.6
20221003,22.8,18.1,26.3
20221004,20.0,15.3,24.1
20221005,16.2,13.7,21.9
20221006,16.5,14.0,21.4
20221007,15.8,12.4,20.5
20221008,15.8,9.7,22.0
20221009,13.0,10.9,14.8
20221010,10.9,8.6,14.0
20221011,12.0,8.4,18.6
20221012,13.0,5.6,21.7
20221013,15.1,9.0,22.9
20221014,15.9,10.4,23.1
20221015,18.2,13.2,24.9
20221016,17.7,14.6,23.3
20221017,12.4,6.5,16.8
20221018,8.8,4.1,15.4
20221019,9.2,2.2,17.4
20221020,11.0,3.2,19.8
20221021,12.2,6.2,18.8
20221022,14.4,8.3,22.0
20221023,13.1,8.3,19.6
20221024,9.7,5.6,15.9
20221025,9.6,2.5,17.2
20221026,11.1,4.0,18.7
20221027,12.5,6.3,20.5
20221028,13.2,7.5,21.2
20221029,13.5,7.8,21.4
20221030,13.9,7.8,21.5
20221031,14.1,9.4,21.0
20221101,12.5,8.1,19.4
20221102,10.9,5.0,19.8
20221103,9.4,3.8,16.7
20221104,5.9,1.6,11.7
20221105,6.1,-1.4,14.3
20221106,8.0,0.9,16.6
20221107,9.6,2.4,17.4
20221108,12.0,6.3,19.9
20221109,10.3,6.2,17.3
20221110,11.7,4.7,19.9
20221111,13.9,6.8,23.1
20221112,16.6,8.4,25.3
20221113,11.6,9.3,18.4
20221114,9.5,5.5,14.3
20221115,8.3,2.2,14.8
20221116,8.9,4.4,15.1
20221117,8.9,3.6,16.6
20221118,9.1,2.3,19.1
20221119,11.1,3.1,19.6
20221120,12.4,8.5,19.6
20221121,11.7,5.1,20.1
20221122,10.8,8.1,14.3
20221123,10.6,5.1,17.3
20221124,7.8,3.3,15.4
20221125,9.5,2.1,17.7
20221126,9.3,1.8,15.0
20221127,6.0,-1.1,14.8
20221128,7.3,2.2,11.0
20221129,8.5,1.3,12.3
20221130,-2.9,-5.5,1.3
20221201,-3.3,-7.4,1.4
20221202,-1.6,-6.1,4.0
20221203,2.7,-2.3,6.8
20221204,-1.4,-3.3,3.8
20221205,-2.2,-4.6,3.6
20221206,0.8,-5.5,6.7
20221207,4.4,0.4,9.0
20221208,3.5,-1.7,11.1
20221209,4.0,-1.8,12.5
20221210,1.7,-2.1,5.3
20221211,1.8,-3.0,8.9
20221212,1.6,-4.1,7.0
20221213,1.7,-2.7,4.4
20221214,-7.3,-10.2,-2.5
20221215,-1.4,-9.2,5.5
20221216,-4.3,-7.1,-1.4
20221217,-6.0,-9.8,-2.4
20221218,-8.4,-11.4,-3.7
20221219,-5.5,-11.7,0.6
20221220,-2.3,-8.7,4.3
20221221,0.2,-2.1,1.8
20221222,-5.1,-9.5,-0.2
20221223,-8.0,-10.8,-4.5
20221224,-8.7,-13.5,-3.2
20221225,-4.8,-11.0,2.8
20221226,-3.6,-8.4,1.7
20221227,-2.3,-8.4,4.9
20221228,-2.3,-4.9,2.8
20221229,-3.2,-8.0,2.3
20221230,-1.1,-3.7,3.2
20221231,-1.1,-4.8,4.3
20230101,-0.8,-5.2,7.0
20230102,-3.0,-6.5,2.4
20230103,-3.5,-9.0,3.4
20230104,-1.5,-7.1,5.5
20230105,-1.1,-5.6,5.6
20230106,1.1,-4.1,7.7
20230107,2.6,-2.1,6.9
20230108,1.2,-4.5,8.6
20230109,1.9,-2.2,9.6
20230110,1.2,-5.4,10.4
20230111,2.2,-4.0,11.3
20230112,5.1,-3.5,15.6
20230113,9.0,5.1,12.8
20230114,7.3,5.6,9.0
20230115,0.4,-3.2,5.8
20230116,-3.1,-6.3,1.2
20230117,-2.4,-6.9,2.8
20230118,-0.8,-3.6,4.0
20230119,0.6,-5.1,6.1
20230120,-1.0,-6.7,3.8
20230121,-3.3,-8.9,2.7
20230122,-0.5,-3.9,3.8
20230123,0.6,-3.8,8.4
20230124,-10.9,-14.5,-2.9
20230125,-11.4,-17.7,-4.7
20230126,-5.8,-11.2,-3.1
20230127,-6.0,-9.3,-2.1
20230128,-5.8,-11.9,0.4
20230129,-1.1,-8.5,5.3
20230130,-0.4,-5.0,5.5
20230131,2.3,-6.7,10.5
20230201,3.1,-3.3,8.3
20230202,-1.5,-4.9,4.0
20230203,-0.8,-3.9,5.6
20230204,-0.6,-6.4,6.6
20230205,0.7,-6.1,8.6
20230206,2.1,-4.9,10.9
20230207,2.9,-3.0,11.2
20230208,1.8,-3.7,9.8
20230209,3.5,-4.3,11.7
20230210,2.9,-0.4,7.5
20230211,0.9,-2.5,5.6
20230212,1.9,-2.3,5.2
20230213,6.3,3.5,10.3
20230214,2.4,-1.7,8.6
20230215,3.4,-1.6,8.3
20230216,2.7,-1.2,6.7
20230217,4.2,-2.2,11.6
20230218,6.4,4.6,9.0
20230219,3.6,-1.1,8.3
20230220,-0.1,-3.8,5.8
20230221,-1.1,-6.2,5.1
20230222,2.1,-6.3,9.4
20230223,3.4,-2.7,10.1
20230224,2.9,-1.5,10.6
20230225,0.7,-3.1,7.0
20230226,1.9,-5.8,11.0
20230227,4.4,-4.4,14.7
20230228,5.8,-3.1,13.9
20230301,6.6,2.1,11.6
20230302,2.3,-1.6,7.7
20230303,4.2,-4.1,13.3
20230304,6.4,-0.5,14.2
20230305,7.9,-0.6,17.2
20230306,8.3,-0.5,17.5
20230307,11.9,3.4,21.1
20230308,14.5,7.8,21.2
20230309,13.9,9.1,20.2
20230310,14.3,4.2,24.2
20230311,16.4,7.5,25.1
20230312,6.8,0.3,14.4
20230313,3.5,-2.3,9.7
20230314,9.4,-0.1,18.1
20230315,11.5,3.2,19.6
20230316,6.1,0.9,12.3
20230317,7.3,2.1,12.4
20230318,9.3,4.9,16.6
20230319,8.7,0.3,17.1
20230320,10.6,1.8,19.6
20230321,14.0,3.7,23.8
20230322,17.0,6.9,25.8
20230323,15.0,11.9,20.8
20230324,12.4,7.0,18.1
20230325,10.8,9.1,13.1
20230326,9.7,4.2,16.8
20230327,7.4,-0.3,15.5
20230328,8.7,0.6,16.9
20230329,11.8,1.8,21.5
20230330,14.2,4.4,23.1
